frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
331,2026-08-02T01:34:35.151+09:00,52.779,330,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.801921,0.801921,0,745,red,0,unknown,0.000000,null,0.000000,0.524,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.524,ultrasonic-not-close,KEEP_PAUSED,right,,,0
332,2026-08-02T01:34:35.299+09:00,52.929,331,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.801652,0.801652,0,745,red,0,unknown,0.000000,null,0.000000,0.480,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.480,ultrasonic-not-close,KEEP_PAUSED,right,,,0
333,2026-08-02T01:34:35.504+09:00,53.134,332,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.801463,0.801463,0,745,red,0,unknown,0.000000,null,0.000000,0.549,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.549,ultrasonic-not-close,KEEP_PAUSED,right,,,0
334,2026-08-02T01:34:35.666+09:00,53.295,333,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.801331,0.801331,0,745,red,0,unknown,0.000000,null,0.000000,0.482,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.482,ultrasonic-not-close,KEEP_PAUSED,right,,,0
335,2026-08-02T01:34:35.836+09:00,53.465,334,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.801239,0.801239,0,745,red,0,unknown,0.000000,null,0.000000,0.503,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.503,ultrasonic-not-close,KEEP_PAUSED,right,,,0
336,2026-08-02T01:34:36.007+09:00,53.637,335,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.806612,0.806612,0,745,red,0,unknown,0.000000,null,0.000000,0.469,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.469,ultrasonic-not-close,KEEP_PAUSED,right,,,0
337,2026-08-02T01:34:36.110+09:00,53.740,336,6.27,0,DRIVING,,0,1,0,-0.445013,,0,0,0.800313,0.800313,0,745,red,0,unknown,0.000000,null,0.000000,0.240,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.240,ultrasonic-not-close,KEEP_PAUSED,right,,,0
338,2026-08-02T01:34:36.302+09:00,53.931,337,6.27,0,DRIVING,,0,1,0,-0.446523,,0,0,0.805964,0.805964,0,745,red,0,unknown,0.000000,null,0.000000,0.260,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.260,ultrasonic-not-close,KEEP_PAUSED,right,,,0
339,2026-08-02T01:34:36.523+09:00,54.152,338,6.26,0,DRIVING,,0,1,0,-0.446523,,0,0,0.805297,0.805297,0,745,red,0,unknown,0.000000,null,0.000000,0.480,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.480,ultrasonic-not-close,KEEP_PAUSED,right,,,0
340,2026-08-02T01:34:36.724+09:00,54.354,339,6.26,0,DRIVING,,0,1,0,-0.446523,,0,0,0.804831,0.804831,0,745,red,0,unknown,0.000000,null,0.000000,0.579,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.579,ultrasonic-not-close,KEEP_PAUSED,right,,,0
