frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,stop_line_detected,lane_error,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
1664,2026-08-01T16:20:23.316+09:00,192.704,1663,8.64,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.312,,"{""0"": 195, ""1"": 198, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 195, ""1"": 198}",195,1,0,0,0,0.312,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1665,2026-08-01T16:20:23.457+09:00,192.845,1664,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.339,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.339,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1666,2026-08-01T16:20:23.594+09:00,192.982,1665,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.243,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.243,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1667,2026-08-01T16:20:23.712+09:00,193.101,1666,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.362,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.362,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1668,2026-08-01T16:20:23.820+09:00,193.209,1667,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.328,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.328,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1669,2026-08-01T16:20:23.929+09:00,193.318,1668,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.302,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.001, ""1"": 0.001, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.301,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1670,2026-08-01T16:20:24.046+09:00,193.435,1669,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,746,green,0,unknown,0.000000,null,0.000000,0.192,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.192,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1671,2026-08-01T16:20:24.168+09:00,193.556,1670,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.312,,"{""0"": 194, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 194, ""1"": 197}",194,1,0,0,0,0.312,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1672,2026-08-01T16:20:24.276+09:00,193.664,1671,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.312,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.312,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1673,2026-08-01T16:20:24.398+09:00,193.787,1672,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,745,green,0,unknown,0.000000,null,0.000000,0.318,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.318,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
1674,2026-08-01T16:20:24.521+09:00,193.910,1673,8.63,0,STOPPED_RED,,1,1,1,-0.007090,0.000000,0.000000,0,744,green,0,unknown,0.000000,null,0.000000,0.442,,"{""0"": 193, ""1"": 197, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 193, ""1"": 197}",193,1,0,0,0,0.442,ultrasonic-not-close,KEEP_PAUSED,left,right,,0
