frame_index,wall_time,elapsed_s,video_frame_index,fps,running,vehicle_state,event,stop_condition,lane_found,traffic_mission_enabled,signal_stop_latched,avoidance_blocked_by_signal,stop_line_detected,lane_error,solid_filter_angle_deg,solid_filter_kept_pixels,solid_filter_rejected_pixels,raw_steer,final_steer,final_speed,steering_pot,traffic_signal,car_detected,car_label,car_confidence,car_bbox,car_area_ratio,car_result_age_s,car_model_fault,ultrasonic_json,ultrasonic_age_json,front_sensor_values,front_distance_cm,sensor_ok,ultrasonic_close,fusion_confirmed,fusion_hits,fusion_skew_s,fusion_reason,obstacle_phase,dash_side,solid_side,locked_dash_side,lost_frames
980,2026-08-02T02:11:37.660+09:00,163.843,979,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.535,5827,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.485,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.485,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
981,2026-08-02T02:11:37.779+09:00,163.961,980,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.539,5844,0,-0.193076,-0.193076,0,742,unknown,0,unknown,0.000000,null,0.000000,0.219,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.219,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
982,2026-08-02T02:11:37.975+09:00,164.157,981,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.539,5837,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.278,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.278,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
983,2026-08-02T02:11:38.196+09:00,164.378,982,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.537,5833,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.501,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.501,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
984,2026-08-02T02:11:38.442+09:00,164.624,983,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.540,5844,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.430,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.430,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
985,2026-08-02T02:11:38.604+09:00,164.787,984,5.98,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.545,5848,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.372,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.372,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
986,2026-08-02T02:11:38.870+09:00,165.053,985,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.546,5844,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.392,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.392,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
987,2026-08-02T02:11:39.108+09:00,165.280,986,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.529,5826,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.458,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.458,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
988,2026-08-02T02:11:39.284+09:00,165.465,987,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.516,5826,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.378,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.378,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
989,2026-08-02T02:11:39.551+09:00,165.733,988,5.97,0,DRIVING,,0,1,1,0,0,0,0.107264,-14.522,5837,0,-0.193076,-0.193076,0,741,unknown,0,unknown,0.000000,null,0.000000,0.643,,"{""0"": 250, ""1"": 250, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 0.0, ""1"": 0.0, ""2"": null, ""3"": null, ""4"": null, ""5"": null, ""6"": null, ""7"": null}","{""0"": 250, ""1"": 250}",250,1,0,0,0,0.643,ultrasonic-not-close,KEEP_PAUSED,right,left,,0
